-23546.7    317.3    13548.7    1148.4    -10419.2    17999.3    -1869.8    -18866.7    3150.1    4489.1    -1606.3    4609.6    -6350.1    10831.4    368.1    -15935    -1347.9    -1056.4    646.8    -10085.3    -1696.2    1920.8    6696.8    -9259.9    8568    4530.3    3981.4    -724.1    18201.3    -4101.8    -3215.9    -5933.2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
-326280    316.7    13561    1144.6    -10404.8    18009.9    -1862.4    -18867.6    3163    4494.1    -1600.5    4620.6    -6343.3    10832.8    350.1    -15927.1    -1358.6    -1056.6    648    -10096.8    -1696.1    1917.6    6703    -9262.9    8569    4538.6    3994.3    -711.2    18194.4    -4105.2    -3211.2    -5930.6    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
-583013    293.9    13545.7    1148.4    -10402    18006.7    -1875.9    -18868.4    3172.5    4484.5    -1606.4    4622.7    -6343.1    10823.7    348.8    -15926.3    -1347.4    -1061.3    647.6    -10090.5    -1710    1916.8    6687    -9258.4    8573.7    4543.6    4002.3    -717    18201.9    -4103.6    -3227.6    -5945.2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
-756689    312.5    13549.5    1164.6    -10414.1    18012.3    -1861.4    -18865    3161.3    4474.3    -1588    4620.1    -6339.1    10840.1    337.9    -15923.5    -1341    -1048.7    635.7    -10089.5    -1706.7    1925.8    6700.1    -9260.1    8573.8    4547.1    3992.6    -728.7    18196.6    -4095.6    -3235.6    -5942.3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
-823611    301.8    13558.5    1147.5    -10394.3    18007.4    -1865.9    -18866.5    3150.9    4488.7    -1583.4    4613.8    -6348.8    10835.2    347.7    -15922.3    -1330.2    -1043.7    648.8    -10091    -1705.8    1925.7    6692.5    -9262.5    8582.4    4536.9    3995.9    -712.2    18192.1    -4105.7    -3214.7    -5938.7    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
-775214    305.4    13550.9    1147.1    -10400.5    18011.6    -1863.7    -18864.5    3168.7    4490    -1601.8    4615.7    -6348.4    10839.1    351.1    -15918.6    -1347    -1049.9    642.6    -10107.2    -1699.9    1911.3    6708.4    -9273    8583.3    4544.5    4002.7    -714.3    18198.4    -4103.2    -3221.8    -5933.2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
-617509    296.9    13534.8    1147.5    -10370.8    17997.2    -1872.3    -18840.6    3172.5    4490.6    -1609.5    4615.4    -6336.7    10826.3    340    -15911.5    -1332.6    -1045    644.7    -10088    -1704.9    1916.4    6699.7    -9259.6    8566.4    4537.8    3981.5    -724.5    18196.1    -4098.4    -3224.8    -5937.6    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
-371738    306.7    13539.7    1156.6    -10374.1    17984.5    -1854.9    -18854.9    3169.8    4467.5    -1610.8    4624    -6338.9    10833.4    341.5    -15910.9    -1337.5    -1058.7    648.9    -10086.1    -1686.2    1905.3    6686.9    -9260.2    8583    4529.8    3978.9    -723.7    18185.8    -4095.9    -3213    -5926.3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
-73604.3    294.4    13553    1155.6    -10365.9    17998.2    -1872.3    -18868.3    3163    4479.1    -1602.2    4618.4    -6329.6    10830.6    342.3    -15908.1    -1334.6    -1060.9    634.8    -10077.7    -1699.4    1922.3    6690.4    -9265.8    8566.8    4530.3    3994.4    -731.2    18192.4    -4093.3    -3210.2    -5937.4    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
234965    299.7    13550.6    1156.1    -10388.9    18006.6    -1866.9    -18865.4    3162.3    4470.7    -1611.9    4610.9    -6347.3    10832.4    347.4    -15920.7    -1341.2    -1063    645.7    -10078.5    -1701.3    1908.6    6696.5    -9263.9    8570.8    4531    3986.6    -713.5    18190.6    -4105.9    -3214.3    -5942.2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    
